head_idx,begin_attention,format_attention,number_attention,is_correct,generated,attention_weights,format
0,0.5224609375,0.421142578125,0.014098167419433594,True, 9.8 is bigger than 9.,"[0.5225   0.010376 0.0031   0.01054  0.02008  0.003399 0.002327 0.00119
 0.002907 0.01044  0.004574 0.002182 0.001657 0.003836 0.03168  0.11597
 0.2534  ]",simple
1,0.62060546875,0.1468963623046875,0.02768230438232422,True, 9.8 is bigger than 9.,"[0.6206    0.02386   0.01962   0.1193    0.0367    0.003681  0.002571
 0.0008745 0.004303  0.03244   0.006023  0.004906  0.002768  0.01226
 0.04633   0.0389    0.02495  ]",simple
2,0.923828125,0.041022300720214844,0.0004215240478515625,True, 9.8 is bigger than 9.,"[9.2383e-01 1.8799e-02 6.9008e-03 2.7409e-03 1.4725e-02 2.8152e-03
 9.2685e-05 1.1671e-04 1.0622e-04 2.9106e-03 7.6675e-04 4.7684e-05
 4.7147e-05 1.1086e-05 1.5402e-03 6.2485e-03 1.8509e-02]",simple
3,0.92041015625,0.026996612548828125,0.0039331912994384766,True, 9.8 is bigger than 9.,"[9.204e-01 1.979e-02 8.415e-03 7.645e-03 1.168e-02 4.822e-03 1.060e-03
 9.384e-04 7.839e-04 6.084e-03 1.787e-03 4.020e-04 4.213e-04 3.281e-04
 3.967e-03 4.265e-03 7.084e-03]",simple
4,0.84814453125,0.09344863891601562,0.02979278564453125,True, 9.8 is bigger than 9.,"[0.848    0.007084 0.001517 0.004475 0.003696 0.001267 0.003597 0.001841
 0.005657 0.0113   0.003077 0.005062 0.003168 0.01047  0.02191  0.015564
 0.05228 ]",simple
5,0.85107421875,0.0647125244140625,0.01861858367919922,True, 9.8 is bigger than 9.,"[0.851    0.00974  0.001701 0.003431 0.005783 0.002106 0.003204 0.002466
 0.003681 0.04575  0.002993 0.002872 0.001245 0.00515  0.0347   0.00406
 0.02017 ]",simple
6,0.8857421875,0.03615760803222656,0.006420612335205078,True, 9.8 is bigger than 9.,"[8.857e-01 5.618e-02 4.669e-03 2.552e-03 3.855e-03 1.919e-03 1.424e-03
 5.898e-04 1.201e-03 5.207e-03 9.389e-04 1.014e-03 4.988e-04 1.694e-03
 7.607e-03 8.980e-03 1.572e-02]",simple
7,0.84521484375,0.0566558837890625,0.016225337982177734,True, 9.8 is bigger than 9.,"[8.4521e-01 4.2938e-02 1.9379e-03 4.7150e-03 8.8348e-03 2.8248e-03
 6.6223e-03 2.2430e-03 2.9659e-03 2.7939e-02 1.3800e-03 1.3742e-03
 8.3208e-04 2.1877e-03 2.4643e-02 9.4833e-03 1.3695e-02]",simple
8,0.68310546875,0.1890106201171875,0.03477287292480469,True, 9.8 is bigger than 9.,"[0.683    0.02316  0.01014  0.007412 0.0219   0.00538  0.003727 0.0022
 0.00865  0.0426   0.00452  0.00487  0.001743 0.01358  0.0999   0.02557
 0.04163 ]",simple
9,0.6611328125,0.2368927001953125,0.01586771011352539,True, 9.8 is bigger than 9.,"[0.661     0.02736   0.01237   0.02771   0.02556   0.002573  0.001404
 0.0009427 0.004723  0.01546   0.0007033 0.000676  0.000737  0.007385
 0.0557    0.09155   0.0641   ]",simple
10,0.74462890625,0.20157623291015625,0.009441375732421875,True, 9.8 is bigger than 9.,"[0.7446    0.02286   0.001974  0.005905  0.01078   0.004154  0.001221
 0.00133   0.002466  0.00835   0.001202  0.0008793 0.00125   0.002295
 0.02774   0.0621    0.10095  ]",simple
11,0.7783203125,0.11290740966796875,0.05190849304199219,True, 9.8 is bigger than 9.,"[0.7783   0.005154 0.004433 0.01274  0.01144  0.003387 0.00231  0.002026
 0.00772  0.0238   0.007225 0.00493  0.003277 0.03165  0.04825  0.0303
 0.02292 ]",simple
12,0.947265625,0.007220745086669922,0.013100743293762207,True, 9.8 is bigger than 9.,"[9.473e-01 1.784e-02 1.765e-04 2.777e-03 4.525e-04 8.362e-03 1.055e-02
 6.480e-04 3.963e-04 2.262e-03 1.122e-03 1.375e-03 7.987e-05 4.995e-05
 1.364e-03 1.380e-03 4.025e-03]",simple
13,0.43212890625,0.1309356689453125,0.17057037353515625,True, 9.8 is bigger than 9.,"[0.4321   0.00965  0.001666 0.01746  0.0236   0.0169   0.02411  0.03418
 0.0446   0.2006   0.02     0.02322  0.015465 0.029    0.0651   0.02618
 0.01602 ]",simple
14,0.71533203125,0.029661178588867188,0.1489696502685547,True, 9.8 is bigger than 9.,"[0.7153    0.04218   0.0009775 0.01469   0.003023  0.0266    0.1094
 0.010414  0.011986  0.01569   0.00587   0.01131   0.00194   0.00395
 0.007504  0.00921   0.009926 ]",simple
15,0.498046875,0.3676605224609375,0.08649063110351562,True, 9.8 is bigger than 9.,"[0.498    0.00788  0.001369 0.003462 0.007065 0.003723 0.00699  0.006042
 0.02347  0.0247   0.00659  0.00941  0.00616  0.03442  0.1776   0.1418
 0.04114 ]",simple
16,0.740234375,0.20641708374023438,0.02874612808227539,True, 9.8 is bigger than 9.,"[7.402e-01 7.175e-03 1.358e-03 8.904e-03 5.978e-03 5.064e-04 2.825e-03
 3.734e-04 4.375e-03 6.626e-03 2.999e-04 5.941e-04 9.403e-04 1.964e-02
 4.175e-02 8.240e-02 7.629e-02]",simple
17,0.6396484375,0.2153167724609375,0.09943389892578125,True, 9.8 is bigger than 9.,"[0.6396   0.01698  0.004837 0.005665 0.00522  0.004448 0.00917  0.00506
 0.01085  0.0095   0.00417  0.00796  0.01031  0.0561   0.01927  0.04813
 0.1427  ]",simple
18,0.289794921875,0.23737335205078125,0.06623125076293945,True, 9.8 is bigger than 9.,"[0.2898    0.0194    0.0155    0.175     0.11835   0.01222   0.00548
 0.0008187 0.002459  0.171     0.013336  0.00806   0.003975  0.04544
 0.08905   0.01034   0.01964  ]",simple
19,0.830078125,0.08623695373535156,0.025938987731933594,True, 9.8 is bigger than 9.,"[8.3008e-01 4.5258e-02 4.9667e-03 1.4763e-03 2.4052e-03 2.3041e-03
 3.2368e-03 9.9850e-04 1.8587e-03 3.3855e-03 3.0994e-04 1.1930e-03
 6.7711e-04 1.7975e-02 1.4465e-02 3.6743e-02 3.2623e-02]",simple
20,0.74755859375,0.12811279296875,0.040990352630615234,True, 9.8 is bigger than 9.,"[0.7476    0.00881   0.00319   0.03253   0.02179   0.005127  0.002766
 0.0008636 0.00442   0.03152   0.002035  0.006123  0.006615  0.0202
 0.03123   0.04727   0.02782  ]",simple
21,0.86669921875,0.03739166259765625,0.06276512145996094,True, 9.8 is bigger than 9.,"[0.8667    0.011314  0.0017605 0.00863   0.005196  0.002333  0.003794
 0.001774  0.0084    0.00775   0.001273  0.007706  0.007797  0.0333
 0.006668  0.013756  0.01177  ]",simple
22,0.91015625,0.06502342224121094,0.010036647319793701,True, 9.8 is bigger than 9.,"[9.102e-01 8.369e-03 1.512e-03 2.546e-03 2.123e-03 4.718e-04 3.479e-04
 9.698e-05 2.165e-03 1.984e-03 9.149e-05 4.592e-04 3.836e-04 6.584e-03
 4.215e-03 2.640e-02 3.229e-02]",simple
23,0.82080078125,0.062957763671875,0.07938003540039062,True, 9.8 is bigger than 9.,"[0.821    0.005337 0.002695 0.00633  0.006027 0.00456  0.004215 0.003162
 0.006763 0.015236 0.002825 0.00639  0.007214 0.05164  0.02748  0.0108
 0.01865 ]",simple
24,0.342529296875,0.32891845703125,0.18529510498046875,True, 9.8 is bigger than 9.,"[0.3425   0.01447  0.002768 0.02986  0.02228  0.02116  0.02968  0.01561
 0.02795  0.06934  0.00577  0.01362  0.02104  0.0774   0.1498   0.08887
 0.068   ]",simple
25,0.6640625,0.18604278564453125,0.10278129577636719,True, 9.8 is bigger than 9.,"[6.641e-01 3.660e-03 8.411e-04 5.569e-03 1.304e-02 6.233e-03 1.029e-02
 3.519e-03 2.448e-02 3.012e-02 4.764e-04 6.474e-03 6.966e-03 5.106e-02
 9.161e-02 5.490e-02 2.649e-02]",simple
26,0.712890625,0.23443031311035156,0.02750396728515625,True, 9.8 is bigger than 9.,"[7.1289e-01 1.3695e-02 1.3657e-03 1.8702e-03 2.4204e-03 2.3098e-03
 3.5286e-03 1.8959e-03 8.6060e-03 5.8174e-03 1.3900e-04 9.0981e-04
 2.2640e-03 1.0300e-02 2.7847e-02 9.8022e-02 1.0614e-01]",simple
27,0.468994140625,0.1572113037109375,0.2816162109375,True, 9.8 is bigger than 9.,"[0.469    0.003141 0.001262 0.03775  0.008316 0.006866 0.02466  0.008835
 0.02791  0.03912  0.004047 0.0311   0.05496  0.1342   0.1339   0.006203
 0.00878 ]",simple
28,0.85205078125,0.02497100830078125,0.06451416015625,True, 9.8 is bigger than 9.,"[0.852    0.02415  0.00845  0.00547  0.0059   0.00869  0.00682  0.004856
 0.00198  0.00938  0.002129 0.00409  0.0056   0.04117  0.009186 0.005764
 0.00412 ]",simple
29,0.8271484375,0.059993743896484375,0.03452491760253906,True, 9.8 is bigger than 9.,"[0.827    0.03088  0.01095  0.0216   0.01139  0.006634 0.01146  0.002178
 0.00822  0.00623  0.001827 0.00355  0.002007 0.007114 0.00797  0.00572
 0.0349  ]",simple
30,0.70751953125,0.1677093505859375,0.05151844024658203,True, 9.8 is bigger than 9.,"[0.7075   0.0202   0.00608  0.01779  0.02078  0.004734 0.006794 0.001657
 0.00793  0.02141  0.003162 0.00734  0.003937 0.02386  0.03784  0.03084
 0.07825 ]",simple
31,0.95068359375,0.021762847900390625,0.00494694709777832,True, 9.8 is bigger than 9.,"[9.5068e-01 1.1848e-02 2.7275e-03 4.5166e-03 2.8419e-03 3.0365e-03
 3.3226e-03 2.1958e-04 6.7091e-04 5.2261e-04 1.0294e-04 1.2863e-04
 7.2122e-05 5.3310e-04 1.9760e-03 3.0136e-03 1.3931e-02]",simple
0,0.498779296875,0.43064117431640625,0.01716136932373047,False, 9.11 is bigger than 9.,"[0.4988    0.01206   0.0295    0.00915   0.00391   0.01068   0.02434
 0.003113  0.002964  0.001219  0.003925  0.01694   0.009476  0.002756
 0.0012045 0.005093  0.0556    0.07513   0.234    ]",qa
1,0.48583984375,0.31365203857421875,0.032080650329589844,False, 9.11 is bigger than 9.,"[0.4858   0.00875  0.0395   0.0131   0.013435 0.05634  0.04382  0.004303
 0.002964 0.001008 0.004345 0.06464  0.0166   0.006226 0.00218  0.01536
 0.1064   0.07336  0.04184 ]",qa
2,0.8896484375,0.09105682373046875,0.00045049190521240234,False, 9.11 is bigger than 9.,"[8.8965e-01 2.1248e-03 5.7770e-02 6.0196e-03 2.8877e-03 1.0748e-03
 1.0567e-02 2.4261e-03 7.5459e-05 1.1736e-04 1.0604e-04 4.8180e-03
 1.4925e-03 7.7844e-05 5.0247e-05 2.3544e-05 3.0861e-03 4.4556e-03
 1.3054e-02]",qa
3,0.8603515625,0.07134819030761719,0.009328842163085938,False, 9.11 is bigger than 9.,"[8.6035e-01 5.2185e-03 3.6072e-02 1.5549e-02 7.0915e-03 1.0399e-02
 1.2520e-02 4.2763e-03 2.3193e-03 1.8425e-03 2.1706e-03 1.7212e-02
 4.2496e-03 1.1263e-03 6.8569e-04 1.1845e-03 8.6060e-03 3.1223e-03
 5.8098e-03]",qa
4,0.7880859375,0.10514068603515625,0.06215667724609375,False, 9.11 is bigger than 9.,"[0.788    0.006844 0.01084  0.00903  0.003008 0.00407  0.006134 0.002087
 0.006912 0.00378  0.00947  0.02011  0.006428 0.01437  0.005573 0.02205
 0.03604  0.012535 0.03275 ]",qa
5,0.71337890625,0.14820289611816406,0.02923107147216797,False, 9.11 is bigger than 9.,"[0.7134   0.00611  0.02525  0.01668  0.004425 0.009125 0.0246   0.004967
 0.005276 0.0042   0.004265 0.0689   0.0053   0.004986 0.001754 0.00875
 0.05685  0.003832 0.03156 ]",qa
6,0.837890625,0.10774612426757812,0.011654853820800781,False, 9.11 is bigger than 9.,"[0.838     0.01473   0.05054   0.02312   0.00481   0.004486  0.00511
 0.002415  0.002796  0.001442  0.001932  0.00586   0.001891  0.002428
 0.0009184 0.002138  0.00952   0.006588  0.02126  ]",qa
7,0.8544921875,0.10700035095214844,0.010924816131591797,False, 9.11 is bigger than 9.,"[8.545e-01 1.558e-02 5.927e-02 8.072e-03 8.574e-04 2.687e-03 3.046e-03
 2.779e-03 4.700e-03 1.773e-03 1.716e-03 1.219e-02 9.456e-04 9.642e-04
 6.986e-04 1.074e-03 7.622e-03 4.139e-03 1.735e-02]",qa
8,0.50732421875,0.2846527099609375,0.06600761413574219,False, 9.11 is bigger than 9.,"[0.5073   0.01608  0.0449   0.06165  0.013855 0.01018  0.04272  0.01062
 0.0113   0.003334 0.01392  0.03983  0.00583  0.008354 0.002073 0.02702
 0.08575  0.02708  0.0681  ]",qa
9,0.420654296875,0.4368133544921875,0.024115562438964844,False, 9.11 is bigger than 9.,"[0.4207   0.02635  0.10693  0.04614  0.02298  0.02774  0.04034  0.00203
 0.001948 0.00129  0.00663  0.01834  0.001049 0.001349 0.00082  0.01208
 0.0701   0.10175  0.0913  ]",qa
10,0.5712890625,0.33575439453125,0.023227691650390625,False, 9.11 is bigger than 9.,"[0.5713   0.02876  0.05453  0.02289  0.005657 0.014    0.01814  0.0077
 0.003527 0.003262 0.006386 0.01581  0.003458 0.002531 0.002228 0.005295
 0.04346  0.0788   0.11206 ]",qa
11,0.58056640625,0.21254730224609375,0.10280799865722656,False, 9.11 is bigger than 9.,"[0.5806   0.001907 0.009346 0.01166  0.0101   0.02008  0.0313   0.005444
 0.00399  0.003244 0.0153   0.04633  0.01036  0.007767 0.00464  0.0679
 0.0785   0.0501   0.04138 ]",qa
12,0.83837890625,0.053315162658691406,0.006851255893707275,False, 9.11 is bigger than 9.,"[8.3838e-01 2.1553e-03 2.9663e-02 9.3201e-02 1.6725e-04 3.2310e-03
 7.8535e-04 3.5820e-03 4.4174e-03 3.7837e-04 5.6601e-04 1.0128e-03
 4.9162e-04 1.2779e-03 1.0186e-04 1.0967e-04 6.7711e-04 3.3522e-04
 1.9699e-02]",qa
13,0.26416015625,0.350250244140625,0.16542816162109375,False, 9.11 is bigger than 9.,"[0.2642  0.01575 0.04153 0.0474  0.00695 0.01964 0.0762  0.0307  0.036
 0.03198 0.03885 0.0985  0.01689 0.02304 0.01    0.02554 0.08057 0.05286
 0.0834 ]",qa
14,0.56591796875,0.1741790771484375,0.061095237731933594,False, 9.11 is bigger than 9.,"[0.566    0.010544 0.0809   0.1626   0.000716 0.0102   0.00646  0.0075
 0.02681  0.003105 0.01682  0.01366  0.004395 0.00852  0.001525 0.00432
 0.00973  0.006763 0.0598  ]",qa
15,0.458251953125,0.389556884765625,0.0912017822265625,False, 9.11 is bigger than 9.,"[0.4583   0.0147   0.01444  0.02196  0.004772 0.008514 0.01624  0.0048
 0.008865 0.005802 0.02243  0.01453  0.006493 0.01426  0.00713  0.0327
 0.1707   0.10626  0.06726 ]",qa
16,0.63427734375,0.3244056701660156,0.015383243560791016,False, 9.11 is bigger than 9.,"[6.3428e-01 1.2444e-02 7.2021e-02 1.1475e-02 4.1847e-03 5.5313e-03
 5.7640e-03 3.8385e-04 2.1076e-03 4.7040e-04 2.4452e-03 3.9444e-03
 3.1209e-04 4.0221e-04 5.5838e-04 9.3994e-03 2.0187e-02 1.2891e-01
 8.5083e-02]",qa
17,0.35595703125,0.4269561767578125,0.08191299438476562,False, 9.11 is bigger than 9.,"[0.356    0.03044  0.03244  0.048    0.01486  0.02737  0.02527  0.007607
 0.01384  0.004353 0.01159  0.031    0.006325 0.006077 0.004704 0.04135
 0.072    0.1125   0.1543  ]",qa
18,0.1573486328125,0.4532508850097656,0.024224281311035156,False, 9.11 is bigger than 9.,"[0.1573    0.008484  0.003666  0.0418    0.03534   0.1481    0.2446
 0.00753   0.004147  0.0005436 0.001379  0.1287    0.003643  0.002317
 0.0007925 0.015045  0.1359    0.0308    0.0298   ]",qa
19,0.685546875,0.26868438720703125,0.00757753849029541,False, 9.11 is bigger than 9.,"[6.8555e-01 1.0406e-01 2.7496e-02 2.3499e-02 8.4839e-03 2.3212e-03
 6.1111e-03 1.0567e-03 1.1072e-03 2.8491e-04 3.6025e-04 2.8954e-03
 9.9242e-05 4.8470e-04 1.9825e-04 5.1422e-03 1.3702e-02 8.0566e-02
 3.6743e-02]",qa
20,0.658203125,0.221282958984375,0.03623390197753906,False, 9.11 is bigger than 9.,"[6.582e-01 2.914e-03 9.781e-03 8.751e-03 4.845e-03 2.969e-02 4.776e-02
 1.980e-03 2.352e-03 5.684e-04 1.976e-03 3.760e-02 1.284e-03 5.924e-03
 2.449e-03 2.296e-02 6.250e-02 6.012e-02 3.821e-02]",qa
21,0.67724609375,0.19158172607421875,0.06435680389404297,False, 9.11 is bigger than 9.,"[0.6772   0.0147   0.0187   0.01593  0.007584 0.01942  0.02148  0.002703
 0.003864 0.001666 0.00748  0.01976  0.001425 0.00838  0.00403  0.03894
 0.02701  0.0808   0.02887 ]",qa
22,0.8935546875,0.09069442749023438,0.006656527519226074,False, 9.11 is bigger than 9.,"[8.936e-01 7.889e-03 1.645e-02 4.295e-03 2.127e-03 9.794e-04 1.200e-03
 3.247e-04 4.475e-04 1.167e-04 1.015e-03 1.057e-03 4.959e-05 3.390e-04
 2.105e-04 4.528e-03 3.160e-03 4.510e-02 1.689e-02]",qa
23,0.6494140625,0.21742630004882812,0.0758209228515625,False, 9.11 is bigger than 9.,"[0.6494   0.03644  0.02135  0.01665  0.011284 0.006184 0.00771  0.004383
 0.005947 0.004677 0.007004 0.01648  0.00242  0.006607 0.005596 0.046
 0.03032  0.0828   0.0388  ]",qa
24,0.21728515625,0.4200286865234375,0.2144775390625,False, 9.11 is bigger than 9.,"[0.2173   0.02371  0.01883  0.012405 0.003674 0.02695  0.02864  0.02779
 0.0364   0.02135  0.0371   0.0733   0.004086 0.01413  0.02113  0.08435
 0.2131   0.0856   0.05014 ]",qa
25,0.51171875,0.25890350341796875,0.15135955810546875,False, 9.11 is bigger than 9.,"[5.117e-01 1.201e-02 1.228e-02 3.906e-03 2.306e-03 8.011e-03 1.501e-02
 3.515e-03 1.535e-02 4.150e-03 2.766e-02 6.000e-02 4.222e-04 6.599e-03
 1.245e-02 8.514e-02 1.418e-01 5.322e-02 2.454e-02]",qa
26,0.74609375,0.2050619125366211,0.03472709655761719,False, 9.11 is bigger than 9.,"[7.4609e-01 5.4138e-02 4.5746e-02 4.6577e-03 1.3609e-03 1.7309e-03
 1.6165e-03 1.0538e-03 3.1528e-03 1.7653e-03 1.0788e-02 5.1384e-03
 9.8765e-05 7.7724e-04 2.5272e-03 1.5717e-02 2.2034e-02 5.3925e-02
 2.7603e-02]",qa
27,0.102294921875,0.30911684036254883,0.4587249755859375,False, 9.11 is bigger than 9.,"[0.1023   0.001908 0.000503 0.002417 0.001931 0.0341   0.00969  0.004185
 0.02148  0.010635 0.01888  0.0845   0.002712 0.02223  0.05005  0.3354
 0.2834   0.007008 0.00656 ]",qa
28,0.775390625,0.14326858520507812,0.022396087646484375,False, 9.11 is bigger than 9.,"[0.7754   0.03105  0.06006  0.01666  0.007057 0.01135  0.02115  0.00628
 0.004627 0.00225  0.00242  0.01525  0.002327 0.00227  0.001551 0.00928
 0.0135   0.009926 0.007587]",qa
29,0.75244140625,0.12787628173828125,0.016652584075927734,False, 9.11 is bigger than 9.,"[7.524e-01 2.524e-02 3.342e-02 3.882e-02 1.185e-02 3.918e-02 2.505e-02
 5.451e-03 5.859e-03 7.839e-04 2.466e-03 5.848e-03 1.766e-03 2.005e-03
 5.755e-04 4.963e-03 9.171e-03 1.136e-02 2.364e-02]",qa
30,0.5283203125,0.30040740966796875,0.04770088195800781,False, 9.11 is bigger than 9.,"[0.5283   0.00909  0.02237  0.02216  0.00977  0.03857  0.05664  0.006035
 0.00799  0.001394 0.005207 0.0412   0.005642 0.006355 0.002907 0.02385
 0.06192  0.04816  0.10223 ]",qa
31,0.953125,0.03209495544433594,0.0012298226356506348,False, 9.11 is bigger than 9.,"[9.531e-01 6.691e-03 5.451e-03 7.473e-03 1.783e-03 2.714e-03 3.561e-03
 1.172e-03 7.124e-04 5.347e-05 1.339e-04 2.549e-04 5.579e-05 5.323e-05
 1.699e-05 2.599e-04 1.295e-03 3.004e-03 1.209e-02]",qa
